SVI Theme: Socioeconomic Status; Overall Socioeconomic Status (Percentile); NaturalBreaks
Data downloaded on 25-October-2025
County_FIPS,County,State,Diagnosed Diabetes-2015-Percentage,Overall Socioeconomic Status-2014-Percentile
12021,Collier County,Florida,6,0.3642
12023,Columbia County,Florida,10.1,0.8278
12027,Desoto County,Florida,9.7,0.9624
12029,Dixie County,Florida,9.5,0.7829
12031,Duval County,Florida,10.1,0.5123
12033,Escambia County,Florida,10.2,0.553
12035,Flagler County,Florida,8.1,0.4852
12037,Franklin County,Florida,8.2,0.8593
12039,Gadsden County,Florida,13,0.9465
12041,Gilchrist County,Florida,6.7,0.8876
12043,Glades County,Florida,8.9,0.9589
12045,Gulf County,Florida,8.5,0.8042
12047,Hamilton County,Florida,9.9,0.9809
12049,Hardee County,Florida,10.5,0.9866
12051,Hendry County,Florida,10.7,0.9825
12053,Hernando County,Florida,9.9,0.695
12055,Highlands County,Florida,9.4,0.8306
12057,Hillsborough County,Florida,9.6,0.4887
12059,Holmes County,Florida,10.1,0.9532
12061,Indian River County,Florida,8.9,0.4839
12063,Jackson County,Florida,10.8,0.9118
12065,Jefferson County,Florida,8.2,0.7832
12067,Lafayette County,Florida,10.3,0.9459
12069,Lake County,Florida,9.8,0.5218
12071,Lee County,Florida,7.4,0.5084
12073,Leon County,Florida,8.4,0.5183
12075,Levy County,Florida,9.8,0.8911
12077,Liberty County,Florida,11,0.9436
12079,Madison County,Florida,11.2,0.9258
12081,Manatee County,Florida,7.7,0.4097
12083,Marion County,Florida,9.6,0.7243
12085,Martin County,Florida,6.1,0.3171
12086,Miami-Dade County,Florida,7.4,0.7599
12087,Monroe County,Florida,6.1,0.1999
12089,Nassau County,Florida,8.8,0.319
12091,Okaloosa County,Florida,8.5,0.2474
12093,Okeechobee County,Florida,8.9,0.9761
12095,Orange County,Florida,9.4,0.5527
12097,Osceola County,Florida,11.2,0.7755
12099,Palm Beach County,Florida,7.6,0.3919
12101,Pasco County,Florida,10.1,0.5129
12103,Pinellas County,Florida,8.3,0.3394
12105,Polk County,Florida,12.6,0.7542
12107,Putnam County,Florida,9.4,0.93
12113,Santa Rosa County,Florida,8.2,0.304
12115,Sarasota County,Florida,5.7,0.2238
12117,Seminole County,Florida,8.1,0.2563
12109,St. Johns County,Florida,6.6,0.0745
12111,St. Lucie County,Florida,8.9,0.6883
12119,Sumter County,Florida,7.9,0.3426
12121,Suwannee County,Florida,10.3,0.8988
12123,Taylor County,Florida,11.3,0.8112
12125,Union County,Florida,10.3,0.8978
12127,Volusia County,Florida,9.7,0.5635
12129,Wakulla County,Florida,8.9,0.4884
12131,Walton County,Florida,8.7,0.5024
12133,Washington County,Florida,9,0.8691
13001,Appling County,Georgia,8.9,0.8048
13003,Atkinson County,Georgia,8.9,0.9306
13005,Bacon County,Georgia,9.3,0.7284
13007,Baker County,Georgia,10.3,0.6845
13009,Baldwin County,Georgia,8.2,0.843
13011,Banks County,Georgia,8.5,0.7189
13013,Barrow County,Georgia,8.7,0.6549
13015,Bartow County,Georgia,8.7,0.6921
13017,Ben Hill County,Georgia,9.9,0.9529
13019,Berrien County,Georgia,9.2,0.9497
13021,Bibb County,Georgia,9.8,0.8399
13023,Bleckley County,Georgia,7.7,0.7494
13025,Brantley County,Georgia,8.5,0.921
13027,Brooks County,Georgia,9.9,0.9475
13029,Bryan County,Georgia,8.8,0.2948
13031,Bulloch County,Georgia,9,0.8055
13033,Burke County,Georgia,9.7,0.9134
13035,Butts County,Georgia,9,0.8443
13037,Calhoun County,Georgia,9.9,0.9013
13039,Camden County,Georgia,8.9,0.4075
13043,Candler County,Georgia,9,0.9102
13045,Carroll County,Georgia,8.8,0.8185
13047,Catoosa County,Georgia,8.4,0.5619
13049,Charlton County,Georgia,9,0.908
13051,Chatham County,Georgia,9.5,0.5068
13053,Chattahoochee County,Georgia,9.3,0.496
13055,Chattooga County,Georgia,8.6,0.9452
13057,Cherokee County,Georgia,7.4,0.2034
13059,Clarke County,Georgia,9.2,0.8083
13061,Clay County,Georgia,9.8,0.9777
13063,Clayton County,Georgia,10.5,0.9195
13065,Clinch County,Georgia,8.9,0.9039
13067,Cobb County,Georgia,9.2,0.2439
13069,Coffee County,Georgia,9.7,0.921
13071,Colquitt County,Georgia,8.9,0.9249
13073,Columbia County,Georgia,7.8,0.135
13075,Cook County,Georgia,9.7,0.8784
13077,Coweta County,Georgia,7.6,0.3005
13079,Crawford County,Georgia,9,0.7883
13081,Crisp County,Georgia,10.1,0.9481
13083,Dade County,Georgia,8.4,0.6014
13085,Dawson County,Georgia,8.4,0.4785
13087,Decatur County,Georgia,10.1,0.8711
13089,Dekalb County,Georgia,10.1,0.5466
13091,Dodge County,Georgia,9.1,0.8176
13093,Dooly County,Georgia,10.3,0.9268
13095,Dougherty County,Georgia,10.9,0.9487
13097,Douglas County,Georgia,9.5,0.5823
13099,Early County,Georgia,10.3,0.815
13101,Echols County,Georgia,8.5,0.8857
13103,Effingham County,Georgia,7.5,0.3139
13105,Elbert County,Georgia,9.1,0.8644
13107,Emanuel County,Georgia,9.8,0.9707
13109,Evans County,Georgia,9.2,0.9338
13111,Fannin County,Georgia,8.4,0.8953
13113,Fayette County,Georgia,7.9,0.1044
13115,Floyd County,Georgia,8.7,0.8494
13117,Forsyth County,Georgia,7.5,0.0888
13119,Franklin County,Georgia,9.2,0.8408
13121,Fulton County,Georgia,8.4,0.3881
13123,Gilmer County,Georgia,8.4,0.8313
13125,Glascock County,Georgia,8.6,0.7055
13127,Glynn County,Georgia,9,0.5903
13129,Gordon County,Georgia,8.5,0.8373
13131,Grady County,Georgia,9.2,0.9678
13133,Greene County,Georgia,9.3,0.6982
13135,Gwinnett County,Georgia,9.4,0.4218
13137,Habersham County,Georgia,8.5,0.7631
13139,Hall County,Georgia,8.6,0.6829
13141,Hancock County,Georgia,10.2,0.9952
13143,Haralson County,Georgia,8.5,0.8774
13145,Harris County,Georgia,7.6,0.192
13147,Hart County,Georgia,8.8,0.7609
13149,Heard County,Georgia,8.7,0.9242
13151,Henry County,Georgia,9.6,0.4295
13153,Houston County,Georgia,9.2,0.4925
13155,Irwin County,Georgia,9.6,0.8481
13157,Jackson County,Georgia,8.6,0.5683
13159,Jasper County,Georgia,9,0.8325
13161,Jeff Davis County,Georgia,8.8,0.8752
13163,Jefferson County,Georgia,9.8,0.993
13165,Jenkins County,Georgia,10.1,0.9376
13167,Johnson County,Georgia,9.2,0.8787
13169,Jones County,Georgia,9.1,0.4728
13171,Lamar County,Georgia,9.1,0.8456
13173,Lanier County,Georgia,9.6,0.957
13175,Laurens County,Georgia,9.9,0.7593
13177,Lee County,Georgia,8.9,0.3378
13179,Liberty County,Georgia,9.8,0.667
13181,Lincoln County,Georgia,9.2,0.8023
13183,Long County,Georgia,9.8,0.8348
13185,Lowndes County,Georgia,10,0.8691
13187,Lumpkin County,Georgia,7.2,0.7163
13193,Macon County,Georgia,9.9,0.994
13195,Madison County,Georgia,8.6,0.6839
13197,Marion County,Georgia,9.3,0.8574
13189,Mcduffie County,Georgia,9.4,0.907
13191,Mcintosh County,Georgia,9.3,0.7144
13199,Meriwether County,Georgia,9.4,0.9561
13201,Miller County,Georgia,9.1,0.8434
13205,Mitchell County,Georgia,9.5,0.9688
13207,Monroe County,Georgia,9,0.6151
13209,Montgomery County,Georgia,9.1,0.7386
13211,Morgan County,Georgia,9,0.518
13213,Murray County,Georgia,8.3,0.9363
13215,Muscogee County,Georgia,9.7,0.6905
13217,Newton County,Georgia,9.5,0.7112
13219,Oconee County,Georgia,7.5,0.043
13221,Oglethorpe County,Georgia,8.9,0.5018
13223,Paulding County,Georgia,7.6,0.3983
13225,Peach County,Georgia,9.5,0.8338
13227,Pickens County,Georgia,7.2,0.4868
13229,Pierce County,Georgia,8.6,0.7256
13231,Pike County,Georgia,8.7,0.5167
13233,Polk County,Georgia,8.7,0.9061
13235,Pulaski County,Georgia,9.3,0.7978
13237,Putnam County,Georgia,9.1,0.4288
13239,Quitman County,Georgia,9.6,0.9834
13241,Rabun County,Georgia,8.4,0.6418
13243,Randolph County,Georgia,10.7,0.8781
13245,Richmond County,Georgia,9.9,0.845
13247,Rockdale County,Georgia,9.8,0.6339
13249,Schley County,Georgia,9,0.8246
13251,Screven County,Georgia,9.5,0.8516
13253,Seminole County,Georgia,9.2,0.7969
13255,Spalding County,Georgia,9.2,0.9035
13257,Stephens County,Georgia,9.2,0.8039
13259,Stewart County,Georgia,10.5,0.9997
13261,Sumter County,Georgia,10.4,0.9682
13263,Talbot County,Georgia,9.9,0.8879
13265,Taliaferro County,Georgia,10,0.9949
13267,Tattnall County,Georgia,9.1,0.9223
13269,Taylor County,Georgia,10,0.979
13271,Telfair County,Georgia,9.2,0.7857
13273,Terrell County,Georgia,10.6,0.9927
13275,Thomas County,Georgia,9.4,0.8848
13277,Tift County,Georgia,9.7,0.8208
13279,Toombs County,Georgia,9,0.8303
13281,Towns County,Georgia,7.2,0.6479
13283,Treutlen County,Georgia,9.2,0.6896
13285,Troup County,Georgia,9.3,0.809
13287,Turner County,Georgia,10,0.9643
13289,Twiggs County,Georgia,10.1,0.9325
13291,Union County,Georgia,8.4,0.7125
13293,Upson County,Georgia,9.1,0.9277
13295,Walker County,Georgia,8.5,0.7612
13297,Walton County,Georgia,8.8,0.54
13299,Ware County,Georgia,9.1,0.8067
13301,Warren County,Georgia,10.6,0.9898
13303,Washington County,Georgia,9.8,0.9526
13305,Wayne County,Georgia,8.9,0.8707
13307,Webster County,Georgia,10.2,0.8446
13309,Wheeler County,Georgia,9.9,0.8204
13311,White County,Georgia,8.4,0.5616
13313,Whitfield County,Georgia,8.5,0.8844
13315,Wilcox County,Georgia,9.2,0.8927
13317,Wilkes County,Georgia,9.5,0.9137
13319,Wilkinson County,Georgia,9.4,0.7135
13321,Worth County,Georgia,9.1,0.8883
15001,Hawaii County,Hawaii,7.2,0.4801
15003,Honolulu County,Hawaii,8.5,0.1035
15005,Kalawao County,Hawaii,9.6,0.29
15007,Kauai County,Hawaii,6.9,0.1684
15009,Maui County,Hawaii,6.8,0.2302
16001,Ada County,Idaho,6.9,0.1633
16003,Adams County,Idaho,6.9,0.51
16005,Bannock County,Idaho,7.9,0.4027
16007,Bear Lake County,Idaho,6,0.2359
16009,Benewah County,Idaho,6.8,0.6326
16011,Bingham County,Idaho,10.6,0.5501
16013,Blaine County,Idaho,5.2,0.0863
16015,Boise County,Idaho,7.4,0.4744
16017,Bonner County,Idaho,6.6,0.3531
16019,Bonneville County,Idaho,7.9,0.2684
16021,Boundary County,Idaho,8,0.4658
16023,Butte County,Idaho,6.7,0.4384
16025,Camas County,Idaho,6.4,0.7272
16027,Canyon County,Idaho,9,0.8128
16029,Caribou County,Idaho,8.1,0.1722
16031,Cassia County,Idaho,8.7,0.6651
16033,Clark County,Idaho,7.2,0.7924
16035,Clearwater County,Idaho,7.5,0.581
16037,Custer County,Idaho,7.7,0.4247
16039,Elmore County,Idaho,9.7,0.6539
16041,Franklin County,Idaho,6.8,0.4193
16043,Fremont County,Idaho,8.1,0.426
16045,Gem County,Idaho,8.1,0.7373
16047,Gooding County,Idaho,8.6,0.7472
16049,Idaho County,Idaho,6.8,0.539
16051,Jefferson County,Idaho,7.6,0.4015
16053,Jerome County,Idaho,7.9,0.8004
16055,Kootenai County,Idaho,6.5,0.3203
16057,Latah County,Idaho,5.8,0.4597
16059,Lemhi County,Idaho,7.1,0.4276
16061,Lewis County,Idaho,8.5,0.4575
16063,Lincoln County,Idaho,7.4,0.7358
16065,Madison County,Idaho,8.7,0.7179
16067,Minidoka County,Idaho,9.4,0.6164
16069,Nez Perce County,Idaho,8.8,0.2365
16071,Oneida County,Idaho,6.9,0.3145
16073,Owyhee County,Idaho,7.9,0.9717
16075,Payette County,Idaho,8,0.7377
16077,Power County,Idaho,8.2,0.6498
16079,Shoshone County,Idaho,8.4,0.7198
16081,Teton County,Idaho,7.6,0.4537
16083,Twin Falls County,Idaho,8.4,0.5365
16085,Valley County,Idaho,6.9,0.1799
16087,Washington County,Idaho,8.4,0.765
17001,Adams County,Illinois,7.3,0.326
17003,Alexander County,Illinois,9.9,0.992
17005,Bond County,Illinois,7.3,0.4951
17007,Boone County,Illinois,7.4,0.4661
17009,Brown County,Illinois,8.7,0.4244
17011,Bureau County,Illinois,7.3,0.2907
17013,Calhoun County,Illinois,8.3,0.2502
17015,Carroll County,Illinois,7.3,0.2939
17017,Cass County,Illinois,8.4,0.5457
17019,Champaign County,Illinois,7.6,0.3585
17021,Christian County,Illinois,7.3,0.3553
17023,Clark County,Illinois,7.3,0.3391
17025,Clay County,Illinois,7.2,0.4457
17027,Clinton County,Illinois,7.2,0.1363
17029,Coles County,Illinois,7.2,0.6593
17031,Cook County,Illinois,9.3,0.5307
17033,Crawford County,Illinois,7.3,0.3738
17035,Cumberland County,Illinois,7.3,0.4935
17039,De Witt County,Illinois,7.3,0.1894
17037,Dekalb County,Illinois,7.3,0.4989
17041,Douglas County,Illinois,8.4,0.3438
17043,Dupage County,Illinois,7.6,0.092
17045,Edgar County,Illinois,7.3,0.5833
17047,Edwards County,Illinois,7.3,0.5002
17049,Effingham County,Illinois,7.3,0.1484
17051,Fayette County,Illinois,8.4,0.6734
17053,Ford County,Illinois,7.2,0.3852
17055,Franklin County,Illinois,7.3,0.7351
17057,Fulton County,Illinois,7.3,0.5075
17059,Gallatin County,Illinois,7.2,0.6441
17061,Greene County,Illinois,7.3,0.5247
17063,Grundy County,Illinois,7.3,0.1786
17065,Hamilton County,Illinois,7.2,0.4779
17067,Hancock County,Illinois,7.3,0.2499
17069,Hardin County,Illinois,9,0.8539
17071,Henderson County,Illinois,7.3,0.2566
17073,Henry County,Illinois,7.3,0.1888
17075,Iroquois County,Illinois,7.3,0.4505
17077,Jackson County,Illinois,8.7,0.6956
17079,Jasper County,Illinois,7.2,0.1347
17081,Jefferson County,Illinois,8.5,0.6195
17083,Jersey County,Illinois,7.3,0.2315
17085,Jo Daviess County,Illinois,7.3,0.0704
17087,Johnson County,Illinois,8.5,0.6937
17089,Kane County,Illinois,8.6,0.361
17091,Kankakee County,Illinois,7.6,0.547
17093,Kendall County,Illinois,7.5,0.0844
17095,Knox County,Illinois,7.4,0.567
17097,Lake County,Illinois,7.6,0.206
17099,Lasalle County,Illinois,7.3,0.4301
17101,Lawrence County,Illinois,8.5,0.6138
17103,Lee County,Illinois,7.4,0.3107
17105,Livingston County,Illinois,7.4,0.3063
17107,Logan County,Illinois,7.3,0.4126
17115,Macon County,Illinois,7.6,0.533
17117,Macoupin County,Illinois,7.3,0.3556
17119,Madison County,Illinois,7.4,0.2811
17121,Marion County,Illinois,8.4,0.6351
17123,Marshall County,Illinois,7.3,0.2044
17125,Mason County,Illinois,8.4,0.5228
17127,Massac County,Illinois,7.4,0.6966
17109,Mcdonough County,Illinois,7.3,0.6409
17111,Mchenry County,Illinois,7.4,0.1582
17113,Mclean County,Illinois,7.4,0.1337
17129,Menard County,Illinois,7.3,0.0793
17131,Mercer County,Illinois,7.3,0.1621
17133,Monroe County,Illinois,7.3,0.0191
17135,Montgomery County,Illinois,8.4,0.5205
17137,Morgan County,Illinois,7.4,0.3865
17139,Moultrie County,Illinois,8.3,0.4034
17141,Ogle County,Illinois,7.3,0.3104
17143,Peoria County,Illinois,7.7,0.3792
17145,Perry County,Illinois,8.5,0.6816
17147,Piatt County,Illinois,7.2,0.0302
17149,Pike County,Illinois,7.2,0.4626
17151,Pope County,Illinois,8.4,0.6004
17153,Pulaski County,Illinois,9.3,0.8252
17155,Putnam County,Illinois,7.3,0.3225
17157,Randolph County,Illinois,8.5,0.4234
17159,Richland County,Illinois,8.4,0.3403
17161,Rock Island County,Illinois,7.5,0.3696
17165,Saline County,Illinois,8.4,0.781
17167,Sangamon County,Illinois,7.5,0.2308
17169,Schuyler County,Illinois,9,0.3878
17171,Scott County,Illinois,7.3,0.4011
17173,Shelby County,Illinois,7.3,0.2865
17163,St. Clair County,Illinois,8,0.4215
17175,Stark County,Illinois,7.3,0.2633
17177,Stephenson County,Illinois,7.5,0.5049
17179,Tazewell County,Illinois,7.3,0.1025
17181,Union County,Illinois,7.2,0.6415
17183,Vermilion County,Illinois,7.5,0.7074
17185,Wabash County,Illinois,7.3,0.3661
17187,Warren County,Illinois,7.3,0.5304
17189,Washington County,Illinois,7.3,0.1608
17191,Wayne County,Illinois,7.2,0.3817
17193,White County,Illinois,7.3,0.3728
17195,Whiteside County,Illinois,7.3,0.3827
17197,Will County,Illinois,7.7,0.1862
17199,Williamson County,Illinois,7.4,0.3887
17201,Winnebago County,Illinois,7.6,0.61
17203,Woodford County,Illinois,7.3,0.0605
18001,Adams County,Indiana,10.3,0.6097
18003,Allen County,Indiana,9.5,0.4062
18005,Bartholomew County,Indiana,9.2,0.1913
18007,Benton County,Indiana,7,0.3381
18009,Blackford County,Indiana,8.6,0.6495
18011,Boone County,Indiana,8.1,0.0096
18013,Brown County,Indiana,6.1,0.3365
18015,Carroll County,Indiana,8.9,0.3454
18017,Cass County,Indiana,6.8,0.674
18019,Clark County,Indiana,10.8,0.3543
18021,Clay County,Indiana,7.6,0.5708
18023,Clinton County,Indiana,8.4,0.4874
18025,Crawford County,Indiana,7.5,0.6823
18027,Daviess County,Indiana,9.5,0.4973
18029,Dearborn County,Indiana,7.8,0.2171
18031,Decatur County,Indiana,8.8,0.4565
18033,Dekalb County,Indiana,6.9,0.3957
18035,Delaware County,Indiana,8.7,0.7208
18037,Dubois County,Indiana,7.2,0.199
18039,Elkhart County,Indiana,9,0.6425
18041,Fayette County,Indiana,7.6,0.8682
18043,Floyd County,Indiana,8.8,0.3015
18045,Fountain County,Indiana,8.8,0.4753
18047,Franklin County,Indiana,7.1,0.4072
18049,Fulton County,Indiana,7.4,0.5454
18051,Gibson County,Indiana,8.9,0.2229
18053,Grant County,Indiana,10.4,0.6909
18055,Greene County,Indiana,8.2,0.5294
18057,Hamilton County,Indiana,7.6,0.0038
18059,Hancock County,Indiana,11,0.0742
18061,Harrison County,Indiana,7.8,0.3671
18063,Hendricks County,Indiana,7.4,0.0392
18065,Henry County,Indiana,9.9,0.7068
18067,Howard County,Indiana,9.1,0.5352
18069,Huntington County,Indiana,8.4,0.3903
18071,Jackson County,Indiana,8.7,0.489
18073,Jasper County,Indiana,9.4,0.2693
18075,Jay County,Indiana,10.5,0.6453
18077,Jefferson County,Indiana,8,0.603
18079,Jennings County,Indiana,8.5,0.7049
18081,Johnson County,Indiana,9.1,0.1522
18083,Knox County,Indiana,8.3,0.447
18085,Kosciusko County,Indiana,8.9,0.3747
18087,Lagrange County,Indiana,8.3,0.6855
18089,Lake County,Indiana,9.7,0.6043
18091,Laporte County,Indiana,9.1,0.6262
18093,Lawrence County,Indiana,9.1,0.4976
18095,Madison County,Indiana,8.5,0.624
18097,Marion County,Indiana,10.1,0.681
18099,Marshall County,Indiana,9.1,0.5444
18101,Martin County,Indiana,8.8,0.4947
18103,Miami County,Indiana,8.6,0.7103
18105,Monroe County,Indiana,6.5,0.4686
18107,Montgomery County,Indiana,8.2,0.4928
18109,Morgan County,Indiana,8.5,0.3311
18111,Newton County,Indiana,8.3,0.4623
18113,Noble County,Indiana,8.3,0.5524
18115,Ohio County,Indiana,6.7,0.3948
18117,Orange County,Indiana,7.9,0.7338
18119,Owen County,Indiana,9.5,0.5842
18121,Parke County,Indiana,8.3,0.5138
18123,Perry County,Indiana,7.6,0.4709
18125,Pike County,Indiana,6.6,0.3327
18127,Porter County,Indiana,8.3,0.1891
18129,Posey County,Indiana,7.6,0.0961
18131,Pulaski County,Indiana,7.1,0.5578
18133,Putnam County,Indiana,7.8,0.4066
18135,Randolph County,Indiana,8.5,0.5702
18137,Ripley County,Indiana,8.2,0.3333
18139,Rush County,Indiana,10.2,0.5097
18143,Scott County,Indiana,9.7,0.8013
18145,Shelby County,Indiana,8.5,0.4346
18147,Spencer County,Indiana,6.5,0.3461
18141,St. Joseph County,Indiana,7.9,0.5384
18149,Starke County,Indiana,9.8,0.7988
18151,Steuben County,Indiana,7.6,0.3435
18153,Sullivan County,Indiana,9.1,0.6288
18155,Switzerland County,Indiana,8.3,0.8217
18157,Tippecanoe County,Indiana,6.5,0.4862
18159,Tipton County,Indiana,7.2,0.2251
18161,Union County,Indiana,7.9,0.4253
18163,Vanderburgh County,Indiana,9.4,0.3588
18165,Vermillion County,Indiana,7.6,0.3496
18167,Vigo County,Indiana,9.5,0.6017
18169,Wabash County,Indiana,8.7,0.4562
18171,Warren County,Indiana,7.4,0.1761
18173,Warrick County,Indiana,7.2,0.0694
18175,Washington County,Indiana,8.3,0.7167
18177,Wayne County,Indiana,8.7,0.751
18179,Wells County,Indiana,7.2,0.2222
18181,White County,Indiana,9.4,0.2789
18183,Whitley County,Indiana,7.4,0.1531
19001,Adair County,Iowa,6.3,0.0876
19003,Adams County,Iowa,6.6,0.1563
19005,Allamakee County,Iowa,7.1,0.2639
19007,Appanoose County,Iowa,9.2,0.4397
19009,Audubon County,Iowa,7.1,0.0395
19011,Benton County,Iowa,7.2,0.0516
19013,Black Hawk County,Iowa,9.2,0.3875
19015,Boone County,Iowa,7.1,0.0904
19017,Bremer County,Iowa,6.9,0.0299
19019,Buchanan County,Iowa,6.4,0.0665
19021,Buena Vista County,Iowa,7.2,0.3964
19023,Butler County,Iowa,6.4,0.1016
19025,Calhoun County,Iowa,7.9,0.2085
19027,Carroll County,Iowa,6.5,0.077
19029,Cass County,Iowa,6.9,0.1468
19031,Cedar County,Iowa,6.9,0.0446
19033,Cerro Gordo County,Iowa,7.7,0.1426
19035,Cherokee County,Iowa,7.3,0.0614
19037,Chickasaw County,Iowa,6.5,0.1929
19039,Clarke County,Iowa,7.4,0.4059
19041,Clay County,Iowa,7.6,0.0528
19043,Clayton County,Iowa,6.2,0.1493
19045,Clinton County,Iowa,7.9,0.2124
19047,Crawford County,Iowa,10.3,0.5661
19049,Dallas County,Iowa,7.7,0.0022
19051,Davis County,Iowa,7.6,0.5256
19053,Decatur County,Iowa,7.8,0.6275
19055,Delaware County,Iowa,7.6,0.1076
19057,Des Moines County,Iowa,8.2,0.3559
19059,Dickinson County,Iowa,6.5,0.0131
19061,Dubuque County,Iowa,6.8,0.1156
19063,Emmet County,Iowa,6.4,0.1703
19065,Fayette County,Iowa,7.4,0.249
19067,Floyd County,Iowa,7.7,0.248
19069,Franklin County,Iowa,7.6,0.2833
19071,Fremont County,Iowa,5.9,0.064
19073,Greene County,Iowa,7.8,0.234
19075,Grundy County,Iowa,7.3,0.0201
19077,Guthrie County,Iowa,5.3,0.0869
19079,Hamilton County,Iowa,7.8,0.1843
19081,Hancock County,Iowa,6.4,0.0468
19083,Hardin County,Iowa,6.9,0.1687
19085,Harrison County,Iowa,8.5,0.1063
19087,Henry County,Iowa,7.2,0.3286
19089,Howard County,Iowa,6.1,0.2423
19091,Humboldt County,Iowa,6.3,0.1382
19093,Ida County,Iowa,6.1,0.1812
19095,Iowa County,Iowa,6.7,0.0357
19097,Jackson County,Iowa,7.4,0.1652
19099,Jasper County,Iowa,7.5,0.1636
19101,Jefferson County,Iowa,6.5,0.1203
19103,Johnson County,Iowa,6.7,0.1394
19105,Jones County,Iowa,7.5,0.1398
19107,Keokuk County,Iowa,7.1,0.2461
19109,Kossuth County,Iowa,7.5,0.0162
19111,Lee County,Iowa,9,0.4381
19113,Linn County,Iowa,8.8,0.0341
19115,Louisa County,Iowa,7.4,0.3598
19117,Lucas County,Iowa,7.8,0.4591
19119,Lyon County,Iowa,8.8,0.1
19121,Madison County,Iowa,7.4,0.1133
19123,Mahaska County,Iowa,9.6,0.3387
19125,Marion County,Iowa,7.2,0.0872
19127,Marshall County,Iowa,8.4,0.3566
19129,Mills County,Iowa,7.8,0.0261
19131,Mitchell County,Iowa,6.6,0.1751
19133,Monona County,Iowa,7.6,0.1853
19135,Monroe County,Iowa,7.5,0.283
19137,Montgomery County,Iowa,8.1,0.5521
19139,Muscatine County,Iowa,7.5,0.3569
19141,O&#39;brien County,Iowa,7,0.0439
19143,Osceola County,Iowa,6.9,0.184
19145,Page County,Iowa,8,0.2967
19147,Palo Alto County,Iowa,8.1,0.0942
19149,Plymouth County,Iowa,7.6,0.0376
19151,Pocahontas County,Iowa,7.3,0.1802
